"","Risk of Failure to Appear_decile_score","Risk of Failure to Appear_raw_score","Risk of Failure to Appear_score_text","Risk of Recidivism_decile_score","Risk of Recidivism_raw_score","Risk of Recidivism_score_text","Risk of Violence_decile_score","Risk of Violence_raw_score","Risk of Violence_score_text","recid","recid_violent","recid_proPub","recid_violent_proPub","uid"
"1","1","13","Low","1","-2.78","Low","1","-4.31","Low",0,0,0,0,"1_2013-08-14"
"2","6","25","Medium","3","-0.76","Low","1","-3.07","Low",1,1,1,1,"3_2013-01-27"
"3","7","26","Medium","4","-0.66","Low","3","-2.26","Low",1,0,1,0,"4_2013-04-14"
"4","3","19","Low","8","0.16","High","6","-1.59","Medium",0,0,0,0,"5_2013-01-13"
"5","3","19","Low","1","-1.93","Low","1","-3.3","Low",0,0,0,0,"7_2013-11-30"
"6","8","30","High","6","-0.16","Medium","2","-2.89","Low",1,1,1,0,"8_2014-02-19"
"7","3","20","Low","4","-0.72","Low","3","-2.44","Low",0,0,0,0,"9_2013-08-30"
"8","1","13","Low","1","-1.73","Low","1","-3.37","Low",0,0,0,0,"10_2014-03-16"
"9","2","17","Low","10","0.82","High","9","-0.83","High",0,0,0,0,"11_2013-12-09"
"10","1","15","Low","4","-0.69","Low","4","-2.12","Low",0,0,0,0,"14_2013-11-26"
"11","5","23","Medium","6","-0.3","Medium","4","-2.06","Low",1,0,1,0,"15_2013-10-03"
"12","1","13","Low","1","-1.67","Low","1","-3.14","Low",0,0,0,0,"16_2013-01-01"
"13","2","17","Low","4","-0.73","Low","2","-2.85","Low",0,0,0,0,"18_2013-10-09"
"14","1","12","Low","1","-2","Low","1","-3.43","Low",0,0,0,0,"21_2014-03-24"
"15","3","18","Low","10","0.89","High","9","-0.84","High",0,0,0,0,"22_2013-12-22"
"16","3","18","Low","5","-0.4","Medium","4","-2.22","Low",1,1,1,1,"23_2013-11-17"
"17","6","25","Medium","9","0.5","High","9","-0.63","High",1,0,1,0,"26_2013-04-18"
"18","1","11","Low","4","-0.92","Low","5","-1.88","Medium",0,0,0,0,"28_2013-11-22"
"19","1","12","Low","4","-0.71","Low","5","-1.8","Medium",1,0,1,0,"30_2013-02-08"
"20","2","17","Low","1","-1.68","Low","2","-2.92","Low",0,0,0,0,"32_2013-01-25"
"21","2","17","Low","3","-0.83","Low","4","-2.2","Low",0,0,0,0,"33_2013-05-11"
"22","9","29","High","9","0.39","High","5","-1.89","Medium",0,0,0,0,"34_2013-05-24"
"23","1","12","Low","3","-0.93","Low","3","-2.55","Low",1,1,1,1,"37_2013-05-06"
"24","1","15","Low","7","0.07","Medium","7","-1.27","Medium",1,0,1,0,"39_2013-02-20"
"25","8","28","High","9","0.55","High","10","-0.43","High",1,1,1,0,"41_2013-01-28"
"26","1","11","Low","1","-2.56","Low","1","-4.21","Low",0,0,0,0,"45_2013-12-30"
"27","10","40","High","10","0.7","High","8","-1.1","High",0,0,0,0,"47_2013-09-16"
"28","2","17","Low","3","-0.81","Low","4","-2.19","Low",0,0,0,0,"48_2014-01-11"
"29","8","29","High","5","-0.46","Medium","2","-2.59","Low",0,0,0,0,"49_2013-01-20"
"30","3","20","Low","3","-0.82","Low","2","-2.81","Low",1,0,1,0,"50_2013-04-04"
"31","2","16","Low","5","-0.73","Medium","2","-2.67","Low",1,1,1,0,"52_2013-12-03"
"32","1","15","Low","2","-1.23","Low","3","-2.49","Low",1,1,1,0,"53_2013-09-15"
"33","6","25","Medium","9","0.32","High","6","-1.55","Medium",1,0,1,0,"54_2013-01-11"
"34","1","14","Low","2","-1.08","Low","2","-2.62","Low",0,0,0,0,"55_2013-01-16"
"35","1","15","Low","1","-1.77","Low","1","-3.6","Low",0,0,0,0,"57_2013-02-28"
"36","1","13","Low","6","-0.25","Medium","7","-1.35","Medium",0,0,0,0,"60_2013-08-23"
"37","2","16","Low","2","-1.32","Low","2","-2.82","Low",0,0,0,0,"61_2013-02-14"
"38","3","19","Low","7","-0.06","Medium","2","-2.8","Low",1,1,1,0,"64_2014-03-03"
"39","3","18","Low","10","1.07","High","9","-0.77","High",1,1,1,1,"66_2014-03-28"
"40","1","11","Low","1","-2.43","Low","1","-3.94","Low",0,0,0,0,"68_2013-08-02"
"41","1","13","Low","4","-0.59","Low","3","-2.41","Low",0,0,0,0,"70_2013-04-24"
"42","1","12","Low","2","-1.22","Low","2","-2.86","Low",1,0,1,0,"71_2013-06-03"
"43","1","12","Low","2","-1.45","Low","2","-2.71","Low",0,0,0,0,"72_2013-11-18"
"44","6","25","Medium","5","-0.43","Medium","7","-1.45","Medium",0,0,1,0,"79_2013-03-18"
"45","1","12","Low","4","-0.6","Low","4","-2.04","Low",1,0,1,0,"80_2013-09-18"
"46","1","15","Low","7","-0.01","Medium","3","-2.36","Low",0,0,0,0,"83_2013-01-20"
"47","1","13","Low","1","-2.05","Low","1","-3.38","Low",0,0,0,0,"84_2013-08-27"
"48","1","14","Low","3","-0.93","Low","2","-2.94","Low",0,0,0,0,"87_2013-02-11"
"49","2","16","Low","2","-1.11","Low","2","-2.7","Low",1,0,1,0,"91_2013-02-04"
"50","4","21","Low","6","-0.17","Medium","3","-2.41","Low",0,0,0,0,"92_2013-03-21"
"51","1","13","Low","4","-0.62","Low","6","-1.61","Medium",1,0,1,0,"93_2013-11-16"
"52","5","23","Medium","9","0.44","High","5","-1.8","Medium",1,1,1,0,"96_2013-01-26"
"53","6","24","Medium","8","0.16","High","6","-1.55","Medium",0,0,NA,NA,"96_2013-08-25"
"54","1","12","Low","1","-1.98","Low","1","-3.88","Low",0,0,0,0,"97_2013-01-08"
"55","1","11","Low","1","-1.88","Low","1","-3.24","Low",0,0,0,0,"99_2014-03-09"
"56","1","13","Low","1","-2.57","Low","1","-4.15","Low",0,0,0,0,"100_2013-09-28"
"57","1","13","Low","1","-2.08","Low","1","-3.55","Low",1,1,1,1,"101_2013-01-13"
"58","3","18","Low","1","-1.97","Low","1","-3.62","Low",0,0,NA,NA,"101_2014-02-02"
